text,label
I enjoy marketing,commerce
I am interested in finance,commerce
I am passionate about gym,sports
I love machine learning,tech
I enjoy doctor,medical
I want a career in lawyer,law
I am passionate about fitness,sports
I enjoy working with legal,law
I love coding,tech
I enjoy working with Python,tech
I want to learn justice,law
I am interested in sports,sports
I am passionate about cricket,sports
I enjoy economics,commerce
I am interested in justice,law
I love art,design
I like data science,tech
I enjoy law,law
I like business,commerce
I love lawyer,law
I am passionate about law,law
I am passionate about sports,sports
I love medicine,medical
I am passionate about training,sports
I like finance,commerce
I am interested in fitness,sports
I enjoy working with medicine,medical
I like justice,law
I enjoy working with graphic design,design
I enjoy graphic design,design
I enjoy working with sports,sports
I enjoy working with economics,commerce
I enjoy legal,law
I am interested in constitution,law
I want a career in healthcare,medical
I want to learn sports,sports
I love healthcare,medical
I enjoy working with business,commerce
I enjoy working with hospital,medical
I am interested in UI UX,design
I want a career in training,sports
I am passionate about constitution,law
I am passionate about biology,medical
I enjoy court,law
I am interested in drawing,design
I love finance,commerce
I enjoy AI,tech
I like art,design
I am passionate about machine learning,tech
I want a career in biology,medical
I want a career in hospital,medical
I enjoy programming,tech
I am passionate about healthcare,medical
I enjoy working with machine learning,tech
I enjoy working with healthcare,medical
I enjoy business,commerce
I want to learn drawing,design
I am interested in economics,commerce
I enjoy healthcare,medical
I enjoy working with doctor,medical
I enjoy working with creativity,design
I enjoy working with anatomy,medical
I like design,design
I enjoy working with court,law
I enjoy biology,medical
I want a career in coding,tech
I enjoy working with art,design
I love constitution,law
I enjoy working with programming,tech
I am interested in business,commerce
I want a career in legal,law
I want a career in economics,commerce
I want a career in gym,sports
I enjoy working with cricket,sports
I enjoy startup,commerce
I like software,tech
I am interested in court,law
I want to learn UI UX,design
I am passionate about court,law
I am passionate about economics,commerce
I want a career in law,law
I am interested in hospital,medical
I am passionate about coding,tech
I want a career in football,sports
I love law,law
I want to learn doctor,medical
I enjoy finance,commerce
I like drawing,design
I enjoy hospital,medical
I want to learn graphic design,design
I like anatomy,medical
I want a career in fitness,sports
I like machine learning,tech
I like creativity,design
I want to learn economics,commerce
I want to learn training,sports
I am interested in anatomy,medical
I want to learn gym,sports
I am interested in healthcare,medical
I want a career in business,commerce
I like startup,commerce
I like biology,medical
I am interested in medicine,medical
I am interested in legal,law
I like coding,tech
I love data science,tech
I love startup,commerce
I love marketing,commerce
I enjoy working with software,tech
I love software,tech
I enjoy machine learning,tech
I love doctor,medical
I enjoy creativity,design
I enjoy working with marketing,commerce
I am passionate about painting,design
I want a career in court,law
I am passionate about doctor,medical
I am passionate about hospital,medical
I am interested in art,design
I want to learn creativity,design
I like doctor,medical
I want to learn programming,tech
I am passionate about marketing,commerce
I am interested in design,design
I am interested in startup,commerce
I enjoy design,design
I am passionate about UI UX,design
I like UI UX,design
I like medicine,medical
I enjoy coding,tech
I enjoy cricket,sports
I want to learn design,design
I like law,law
I want to learn healthcare,medical
I want to learn anatomy,medical
I enjoy working with biology,medical
I want to learn startup,commerce
I like healthcare,medical
I want a career in constitution,law
I enjoy justice,law
I am interested in coding,tech
I am passionate about startup,commerce
I enjoy Python,tech
I enjoy working with accounting,commerce
I enjoy medicine,medical
I enjoy working with justice,law
I enjoy working with UI UX,design
I love hospital,medical
I am interested in graphic design,design
I want a career in Python,tech
I am interested in programming,tech
I want to learn data science,tech
I am interested in football,sports
I want to learn machine learning,tech
I want to learn art,design
I want a career in UI UX,design
I like lawyer,law
I enjoy working with lawyer,law
I enjoy working with painting,design
I am passionate about art,design
I enjoy software,tech
I love biology,medical
I am passionate about programming,tech
I love justice,law
I like fitness,sports
I enjoy sports,sports
I like accounting,commerce
I want a career in art,design
I like training,sports
I enjoy working with football,sports
I am passionate about football,sports
I love drawing,design
I want to learn hospital,medical
I want to learn fitness,sports
